Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gibraltar,GIB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.743069649,,,,,,,18.23868,,,,,,,12.19195,,,,21.96225,,,,,
"Gambia, The",GMB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06155,,,,,,,,,,,,,33.57535,,41.57702,,,,
Guinea-Bissau,GNB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,8.588259697,,,,,,,,,,,,,,,,,,,,,27.49421,,,,,,,,,,,,,,30.76851,,,,,
Equatorial Guinea,GNQ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.623,,,,,,,,,,90.67608,,,,92.4,,,,,
Greece,GRC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,85.31999207,,,,,,,,,,89.353302,,,,,,,,,,94.23941,,,,90.76541,,91.81247,,91.84761,,96.50211,,,,,,,,
Grenada,GRD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,97.58978271,,,,,,,,,,,,,,98.59999847,,,,,,,,,,98.59999847,,,,,,,,,,98.6,,,,,,,,,,98.6,,,,,
Greenland,GRL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.29265976,,,,,,,,63.34138,,,,,,,,,,72.42804,72.12759,76.37066,,,,,
Guam,GUM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,96.46308136,,,,,,,,,,99.3085022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.25198,,,,,85.03461,,,,,
High income,HIC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2236,,,,,,83.45277,,,84.72503,84.93027,85.05148,85.28473,87.02599,87.8937,88.93486,,87.26556,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,32.95346069,33.61249924,34.16379166,34.66078949,35.32164001,35.64115143,35.96500015,36.41217041,37.13378143,37.32563019,38.0215416,39.0328598,39.72682953,40.54225159,41.66466141,42.53779984,42.32139969,43.2301712,44.92724991,44.4670105,43.40707016,45.10189056,44.57349014,45.27264023,46.18151,48.7758,50.4204,50.69454,51.75255,52.47127,53.59357,54.78588,55.48133,
Croatia,HRV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8172226,,,,,,,,,,97.0839,,,,,,,,,,98.66591,,,,,,,,
Haiti,HTI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,32.52495956,,,,,,,,,,,,,,,,,,,,,54.86147,,,44.59945,,,,,,,,,,58.30052,,,
Hungary,HUN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,98.45413208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,,
IBRD only,IBD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,50.727211,50.97002029,51.36949921,52.37446976,53.38541031,54.06536865,55.2598114,56.26119995,57.4237709,58.55345154,59.54763031,60.47684097,61.5206604,64.43029022,65.27120972,65.7851181,66.72306824,67.42762756,68.04283142,68.66477203,69.32312775,70.01631927,74.14704895,75.68576813,76.19394684,76.79753113,77.18164063,77.73174286,78.51731873,79.16166687,,79.57185364,80.64037323,81.12445068,81.71240234,82.76252,83.29829,83.66976,83.9676,84.49703,84.87894,85.1241,85.45743,85.79008,
IDA & IBRD total,IBT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,47.71857071,47.93307877,48.3087883,49.19430923,50.09246063,50.71554184,51.75494003,52.65784836,53.68817902,54.70539093,55.61132813,56.46133041,57.43920898,59.99269867,60.79259109,61.34463882,62.22040939,62.84104156,63.42309189,64.06627655,64.70124054,65.39154053,68.9230423,70.38745117,70.92041779,71.28063202,71.72557831,72.22402191,72.93994904,73.65878296,,73.90830231,74.73258209,75.24289703,75.79799652,76.70705,77.18519,77.60679,77.89608,78.46241,78.90824,79.37976,79.77757,80.05061,
IDA total,IDA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,34.30046082,34.71297073,35.08470154,35.54182816,36.00833893,36.46389008,37.11338043,37.89324951,38.4888382,39.23078918,39.99703979,40.40153122,41.02621841,41.99647903,42.76728821,43.6064415,44.56153107,45.95722961,46.86597824,46.35808182,47.30570984,47.77317047,48.37200165,49.62971878,49.60411835,49.68714142,49.76586914,50.7066803,51.45069122,52.1083,52.67403,53.61624,54.19391,55.22972,56.24968,57.89154,58.8438,59.21781,
IDA blend,IDB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,38.45341873,38.59635162,39.14677048,39.49705124,39.86997986,40.25495148,40.64537048,41.41592026,42.21160126,42.83454895,43.67631912,45.27420044,45.49198914,46.29732895,47.1626091,48.02257919,49.0499382,50.00675964,51.15071869,51.97491837,48.45722961,49.3755188,50.22082901,50.27196884,51.29817963,51.04721069,52.11265182,51.38988876,51.73209,52.75955963,53.39392,54.11194,55.05869,55.0472,56.31503,56.64338,57.51538,58.50961,58.28596,
Indonesia,IDN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,57.69462967,,,,,,,,,,75.27011871,,,,,,,,,,,,,,86.79959,,88.78698,,89.10139,89.67712,,90.0687,,,93.4509,93.33571,93.58692,,93.99218,
IDA only,IDX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,32.4575119,32.8401413,33.34011078,33.84809113,34.33678055,34.9246788,35.69651031,36.27817917,36.96934891,37.31644058,37.81953812,38.35628128,39.38304901,40.11177826,40.8548317,41.80799866,43.32992172,44.28015137,45.29499817,46.25727844,46.5329895,47.40892029,48.7836113,48.87203979,48.45637894,48.94169998,50.18626022,50.78630066,51.4556,51.94452,52.88482,53.76149,54.68014,56.05054,58.08147,59.01223,59.68649,
Isle of Man,IMN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,25.67625046,,,,,,,,,,33.72953033,,,,,,,,,,47.8421,,,,,50.82376,,,,,59.27732,,,,,,,65.79081,
Not classified,INX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,24.42308044,,,,,,,,,,41.03395081,,,,,56.15642166,,,,,66.06775665,,,,,,70.4,,,76.80264,77.24002,,77.69472,,,,78.41627,79.75584,79.83935,,80.78744,,,
Iraq,IRQ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1695,,,,,,,,,,,,,37.95525,,,,,44.014,
Iceland,ISL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,88.67472076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,95.53666687,,,,,,,,,,,,,,,,,,,,98.04215,,,,,,,,,,98.57957,,,,,,,98.97192,
Jamaica,JAM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.87207794,,,,,,,,,,,,,,,92.7,,,,,
Jordan,JOR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,52.11061096,,,,,,,,,,,,,,,,,,,,,,,,84.71392,,87.00581,,88.90331,,,89.20774,93.93346,97.37201,,,,,,97.83208,
Japan,JPN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.13877106,,,,,,,,,,99.28990173,,,,,,,,,,99.68429,99.73899,,,,,,,,,
Kenya,KEN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.89298,,,,,,,66.86312,,,,,,,74.00632,,,,78.18893,
Kyrgyz Republic,KGZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.13063049,,,,,,,,,,98.98121,,,,,,,,,99.49972,
Cambodia,KHM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99250031,,,,,,64.05099,,,,70.8582,65.93125,,,,,71.7818,75.03387,,,,
Kiribati,KIR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,48.0152092,,,,,59.11050034,,,,,68.84937286,,,,,,,,,,74.14871979,,,,,,,,,,91.0425,90.82863,91.50349,91.77865,,92.68094,,94.96525,94.30116,,94.47005,,94.82577,94.90516,
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,73.17723846,73.20020294,73.70855713,74.29489899,74.92186737,75.49977875,76.16995239,76.61985779,77.16681671,77.72059631,78.26206207,78.78800201,79.299263,79.61022949,80.21633911,80.80544281,81.36393738,82.00478363,82.76825714,83.52813721,84.16329956,84.86475372,85.29818726,85.63123322,86.22628021,86.62886047,86.99051666,87.01052094,87.21125793,88.13530731,88.13829803,88.72782898,88.49555969,89.30593109,89.61038971,89.93520355,90.1282,90.7628,91.1127,91.22103,91.76073,91.91362,92.42882,92.60402,92.8302,
Lao PDR,LAO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.90235901,,,,,58.4607,60.90252,,,,63.22699,,,,,,49.72308,,,,79.39104,,,,
Lebanon,LBN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96778,,88.08706,,,,,,,,,93.30501,
Liberia,LBR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,19.30278969,,,,,,,,,,,,,,,,,,,,,,,27.03491,,,,,,,,,,34.09226,,
Libya,LBY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,42.31354904,,,,,,,,,,63.70000076,,,,,,,,,,77.8,,,,,,,,,,,,,,,
St. Lucia,LCA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,75.76988983,75.7913208,76.24764252,76.77076721,77.33975983,77.86538696,78.46546936,78.88432312,79.38204956,79.88509369,80.37744904,80.85587311,81.32170868,81.60356903,82.20787048,82.76441193,83.26480103,83.83006287,84.48304749,85.14518738,85.69998932,86.3116684,86.69251251,86.99028015,87.53427124,87.88523102,88.20292664,88.22653961,88.40821075,89.21154022,89.22129822,89.74169922,89.61846924,90.33679962,90.61271667,90.98171997,91.10951,91.64012,91.96107,92.03151,92.5024,92.65633,93.11509,93.25021,93.44784,
Least developed countries: UN classification,LDC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,30.35054016,30.72686005,31.21249008,31.70198059,32.16931915,32.74332047,33.48609161,34.08274078,34.77011108,35.09997177,35.59891891,36.13368988,37.20161819,38.08142853,38.8070488,39.75888062,41.31280136,42.29109955,43.15216064,44.15702057,44.28321075,45.24420929,46.68534088,46.71912003,46.18391037,46.47087097,47.74486923,48.71118164,49.22875,49.71494,50.77016,51.72391,52.59921,54.10951,56.31857,57.33279,58.09787,
Low income,LIC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,34.54561996,35.02442932,35.66181183,36.24845886,36.67211914,37.36286926,37.80595016,38.18299866,38.59460831,39.31433105,39.76839828,40.39004898,41.32117844,41.88650894,42.56462097,43.25941849,44.27970886,43.93238068,44.61940002,46.19906998,45.74208832,45.4675293,46.85810089,46.03071976,47.19792938,47.51766,49.93399,51.43424,51.55278,52.3935,53.01256,53.96644,55.01539,55.61861,
Liechtenstein,LIE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,82.02197266,,,,,,,,,,,,,,,,,,,,89.13576,,,,,89.09135,,89.07347,,89.95868,,,,,,91.48611,90.97074,,
Lower middle income,LMC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,37.73448181,37.97401047,38.59943008,39.26548004,40.01213074,39.9341011,40.99594879,41.97108078,42.61505127,43.323349,44.03042984,44.66062927,45.69240189,45.97121048,46.82888031,47.6184082,48.34566879,49.1428299,49.8395195,50.70061111,51.52248001,52.4036293,53.18201065,56.1552887,56.95808029,57.19551086,57.85992813,58.83480072,59.70323181,60.53961182,,60.7468605,61.1020813,62.30374146,63.05450058,65.15442,65.55476,66.20354,66.96493,67.97962,68.82391,69.67878,70.46611,70.9349,
Low & middle income,LMY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,46.96162033,47.17684937,47.55609131,48.45277023,49.36238098,49.99243164,51.04584885,51.96057892,53.00495911,54.03601837,54.95397186,55.81509018,56.80818176,59.40385056,60.21176147,60.77074814,61.66452026,62.30001831,62.89461899,63.55086899,64.1984787,64.90316772,68.4920578,69.97933197,70.52303314,70.89167786,71.34551239,71.85497284,72.58545685,73.31742859,,73.56729126,74.4048996,74.92292786,75.47969055,76.40839,76.89891,77.32789,77.6264,78.20323,78.65484,79.13391,79.54099,79.81951,
Lesotho,LSO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04645,,,,,,,,,84.96396,,,,,84.93489,,,,,
Late-demographic dividend,LTE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,58.26359177,58.40584183,59.57117844,60.80683899,61.97856903,63.14884186,64.08467102,65.49478912,66.63887787,67.74828339,68.74542236,69.77501678,74.65963745,75.49060822,75.55976868,76.82415009,77.41811371,77.99758911,78.55062866,79.10932159,79.70722198,86.59805298,87.09561157,87.52765656,88.02049255,88.3432312,88.7792511,89.29641724,89.87007904,90.31153107,90.62026215,92.01638794,92.33570099,92.74658966,92.82887,93.46974,93.69671,93.76935,94.01689,94.19743,94.42944,94.64086,94.84279,
Lithuania,LTU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.78159332,,,,,,,,,,,,99.64794,,,,,,,,,,99.83324,,,,,,,,
Luxembourg,LUX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.188797,,,,,,,,,,,99.70973,,,,,,,,,,,99.90792,,,,,,,,
"Macao SAR, China",MAC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,86.21588135,,,,,,,,,,,,,,,,,,,,87.77497,,,,,90.72359,,,,,93.73191,,,,,95.03257,,,
St. Martin (French part),MAF,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,17.51486969,,,,,,,,,,,,28.72542,,,,,,,,,,39.61956,,,,42.58785,43.92108,,57.63999,59.13064,,,,,,64.59138,
Monaco,MCO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4444809,,,,,,,,,,,95.4923,,,,,,,,,,,,98.92425,,99.14042,,,,,
Madagascar,MDG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.27857,,,,,,,,,61.64141,,,68.2833,,,,,,72.38409,
Maldives,MDV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,82.17816162,,,,,,,,92.35900879,,,,,96.14601135,,,,,96.44297791,,,,,,,,,,,98.42985,,,,,,,,98.69167,,98.11471,,,
Middle East & North Africa,MEA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,28.44499969,28.91900063,29.43847084,30.17777061,30.61696053,31.35088921,32.15737915,32.99700165,33.84513855,34.83391953,35.9283905,37.06457901,38.10829163,39.34040833,40.30432892,41.55403137,42.78176117,45.54496002,47.0304718,48.25606918,48.81758881,50.13769913,52.05178833,53.83073044,54.90721893,56.36045837,57.72898102,59.06328964,60.36212158,60.88233185,64.03885651,65.29631805,,66.12442017,66.58010101,67.51699066,67.64337921,68.75122,69.60376,70.28381,70.84146,71.44198,72.31189,70.96812,72.27389,72.33609,
Mexico,MEX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,79.89099884,,,,,,,,,,84.95590973,,,,,,,,,,88.68204,,88.72863,,89.63102,90.21041,89.83451,91.35555,91.45361,92.11625,91.85342,92.33828,93.17924,92.90394,93.59134,93.4855,93.96852,94.16576,94.60805,
Marshall Islands,MHL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20298,,,,,,,,
Middle income,MIC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,48.16519165,48.3880806,48.78162003,49.7284584,50.68803024,51.34313965,52.45595169,53.41540146,54.51398849,55.58612823,56.5349617,57.42570114,58.4463501,61.19765091,62.03533173,62.5841217,63.52627945,64.19577789,64.81945801,65.4871521,66.16883087,66.88877106,70.70800018,72.28919983,72.84030914,73.19892883,73.62323761,74.22206116,74.97393036,75.65383148,,76.04094696,76.86064148,77.53420258,78.07193756,79.09369,79.43916,79.8007,80.15146,80.73942,81.21342,81.68458,82.06739,82.35504,
North Macedonia,MKD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.92801666,,,,,,,,94.05607,,,,,,,,,,,,96.7,,,,,
Mali,MLI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,5.735280037,,,,,,,,,,,,,,,,,,,,,,11.89342976,,,,,15.9,,,18.19091,,,,20.28793,24.63679,,,,22.19581,,,25.73516,
Malta,MLT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,87.28613281,,,,,,,,,,89.24263763,,,,,,,,,,93.50425,,,,,,94.79004,,,,,,,95.98872,
Myanmar,MMR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,71.630867,,,,,,,,,,,,,,,,,86.41518,,,,,,,,,,,,,,,,71.84699,,,
Middle East & North Africa (excluding high income),MNA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,24.71478081,25.20309067,25.71088028,26.27206039,27.06406975,27.52430916,28.31369019,29.15003014,30.06080055,30.97522926,31.96229935,33.15232086,34.36608124,35.50183105,36.84545135,37.89215088,39.15710068,40.40077972,43.3494606,44.87779999,46.09394073,46.689991,48.04961014,50.06241989,51.90761185,52.97700119,54.42459106,55.81721115,57.14508057,58.49317932,58.88716888,62.19932938,63.44554901,,64.14958191,64.52320099,65.4095993,65.42608643,66.54257,66.81986,67.48462,67.99404,68.58886,69.52295,67.92356,69.37099,69.41151,
Montenegro,MNE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,83.23545837,,,,,,,,,,97.77604675,,,,,,,,,,,,96.31887,,,,,,,,97.50051,,,,,,,98.27135,
Mongolia,MNG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5288,,,,,,,,,,98.33663,,,,,,,,98.64889,
Northern Mariana Islands,MNP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,12.09652996,,,,,,,,,,,,,,,,,24.96419907,,,,,,33.19396,,,,,,36.45228,,,,,,43.06246,,50.29514,,
